Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2000,-,Algeria,-,DZA,8015,2320,0,0,0,0,0
2001,-,Algeria,-,DZA,8399,2746,0,0,0,0,0
2002,-,Algeria,-,DZA,12088,2374,0,0,0,0,0
2003,-,Algeria,-,DZA,11651,1910,0,0,0,0,0
2004,-,Algeria,-,DZA,10650,1335,0,0,0,0,0
2005,-,Algeria,-,DZA,12024,1381,0,0,0,0,0
2006,-,Algeria,-,DZA,8338,1531,0,0,0,0,0
2007,-,Algeria,-,DZA,10599,1340,0,0,0,0,0
2008,-,Algeria,-,DZA,9044,1522,0,0,0,0,0
2009,-,Algeria,-,DZA,8168,1537,0,0,0,0,0
2010,-,Algeria,-,DZA,6665,1714,0,0,0,0,0
2011,-,Algeria,-,DZA,6093,2183,0,0,0,0,0
2012,-,Algeria,-,DZA,5657,2463,0,0,0,0,0
2013,-,Algeria,-,DZA,3643,4286,0,0,0,0,10
2014,-,Algeria,-,DZA,3509,5127,0,0,0,0,12
2015,-,Algeria,-,DZA,3470,7622,0,0,0,0,12
2016,-,Algeria,-,DZA,3705,7177,0,0,0,0,7
2017,-,Algeria,-,DZA,4021,6432,0,0,0,0,7
2018,-,Algeria,-,DZA,4181,7447,0,0,0,0,11
2019,-,Algeria,-,DZA,4514,7703,0,0,0,0,107
2020,-,Algeria,-,DZA,4571,7779,0,0,0,0,96
2021,-,Algeria,-,DZA,6003,6871,0,0,0,0,33
2024,-,Algeria,-,DZA,8800,13598,0,0,0,0,53
2025,-,Algeria,-,DZA,8491,13209,0,0,0,0,206
2023,-,Algeria,-,DZA,7629,11330,0,0,0,0,48
2022,-,Algeria,-,DZA,7734,8923,0,0,0,0,107
2000,-,Egypt,-,EGY,3954,1151,0,0,0,0,0
2001,-,Egypt,-,EGY,4677,1442,0,0,0,0,0
2002,-,Egypt,-,EGY,6442,1825,0,0,0,0,0
2003,-,Egypt,-,EGY,5734,2019,0,0,0,0,0
2004,-,Egypt,-,EGY,5361,2242,0,0,0,0,0
2005,-,Egypt,-,EGY,6288,2327,0,0,0,0,0
